journal_id,name,publisher,website,p_issn,e_issn,subject_area,accreditation,scopus_indexed,garuda_indexed,Impact,H5-index,Citations 5yr,Citations
5026,Al-Istinbath : Jurnal Hukum Islam,Institut Agama Islam Negeri Curup,http://journal.iaincurup.ac.id/index.php/alistinbath,25483374,25483382,,S1Accredited,True,True,"7,74",20,1.626,1.697
6735,Jambe Law Journal,"Fakultas Hukum, Universitas Jambi",http://jlj.unja.ac.id/index.php/home/index,25987925,2598795X,,S1Accredited,True,True,"7,00",8,235,250
684,Studia Islamika,Center for the Study of Islam and Society (PPIM) Syarif Hidayatullah State Islamic University of Jakarta,http://journal.uinjkt.ac.id/index.php/studia-islamika,|,23556145,"Education, Religion",S1Accredited,True,True,"7,00",30,4.735,8.548
6735,Jambe Law Journal,"Fakultas Hukum, Universitas Jambi",http://jlj.unja.ac.id/index.php/home/index,25987925,2598795X,,S1Accredited,True,True,"7,00",8,235,250
975,Mazahib Jurnal Pemikiran Hukum Islam,Fakultas Syariah UIN Sultan Aji Muhammad Idris Samarinda,https://journal.uinsi.ac.id/index.php/mazahib,18299067,24606588,"Humanities, Education, Art, Social",S1Accredited,True,True,"6,96",21,2.292,2.819
8884,Journal of Robotics and Control (JRC),Universitas Muhammadiyah Yogyakarta,https://journal.umy.ac.id/index.php/jrc/index,27155056,27155072,,S1Accredited,True,True,"6,62",41,8.830,9.128
1306,JOIN (Jurnal Online Informatika),"Jurusan Teknik Informatika, UIN Sunan Gunung Djati Bandung",https://join.if.uinsgd.ac.id/index.php/join,25281682,25279165,Science,S1Accredited,True,True,"6,60",25,2.863,2.927
853,Jurnal Pendidikan Vokasi,Asosiasi Dosen dan Guru Vokasi Indonesia dan Program Pascasarjana UNY,http://journal.uny.ac.id/index.php/jpv,20882866,24769401,Education,S1Accredited,False,True,"6,60",44,9.440,13.865
13372,MILRev: Metro Islamic Law Review,Institut Agama Islam Negeri Metro Lampung,https://e-journal.metrouniv.ac.id/index.php/milrev,0,2986528X,,S1Accredited,False,True,"6,51",13,863,868
6731,IAES International Journal of Artificial Intelligence,Institute of Advanced Engineering and Science,http://ijai.iaescore.com/index.php/IJAI,20894872,22528938,"Science, Engineering",S1Accredited,True,True,"6,43",42,11.632,13.521
758,Al-Manahij: Jurnal Kajian Hukum Islam,Universitas Islam Negeri Profesor Kiai Haji Saifuddin Zuhri Purwokerto,https://ejournal.uinsaizu.ac.id/index.php/almanahij/index,19786670,25794167,Education,S1Accredited,True,True,"6,29",22,2.423,2.585
492,Al-Ahkam: Jurnal Ilmu Syariah dan Hukum,Fakultas Syari'ah UIN Raden Mas Said Surakarta,https://ejournal.uinsaid.ac.id/index.php/al-ahkam/,25278169,25278150,,S1Accredited,False,True,"6,00",21,1.280,1.533
798,Legal Protection for the Partnership Agreement Parties,Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,https://shariajournals-uinjambi.ac.id/index.php/al-risalah,1412436X,25409522,"Humanities, Education, Art, Social",S1Accredited,True,True,"5,91",17,1.696,1.966
185,Psikohumaniora: Jurnal Penelitian Psikologi,Program Studi Psikologi Fakultas Psikologi dan Kesehatan Universitas Islam Negeri Walisongo Semarang,https://journal.walisongo.ac.id/index.php/Psikohumaniora/index,25029363,25277456,"Health, Education, Social",S1Accredited,True,True,"5,78",31,3.889,4.205
5671,Ulul Albab: Jurnal Studi dan Penelitian Hukum Islam,Jurusan Syariah Fakultas Agama Islam Universitas Islam Sultan Agung (UNISSULA) Semarang,https://jurnal.unissula.ac.id/index.php/ua/index,25976168,25976176,,S1Accredited,False,True,"5,48",16,1.019,1.156
880,Media Hukum,Fakultas Hukum Universitas Muhammadiyah Yogyakarta,http://journal.umy.ac.id/index.php/jmh/index,08548919,25031023,,S1Accredited,False,True,"5,29",26,2.851,3.201
79,Shirkah: Journal of Economics and Business,"Faculty of Islamic Economics and Business (FEBI) Universitas Islam Negeri Raden Mas Said Surakarta, Indonesia",http://shirkah.or.id/new-ojs/index.php/home,25034235,25034243,Economy,S1Accredited,False,True,"5,14",22,2.092,2.330
9155,Ulumuna,Universitas Islam Negeri Mataram,https://ulumuna.or.id/index.php/ujis,14113457,27752453,"Religion, Humanities, Education, Art, Social",S1Accredited,True,True,"5,03",27,3.246,4.217
6126,Journal of Islamic Monetary Economics and Finance,Bank Indonesia,http://www.jimf-bi.org/index.php/JIMF,|,24606618,,S1Accredited,True,True,"5,00",43,6.703,7.316
12647,The Indonesian Journal of Socio-Legal Studies,Universitas Indonesia,https://scholarhub.ui.ac.id/ijsls,0,28082591,,S1Accredited,True,True,"4,88",10,324,327
1990,LAW REFORM,Universitas Diponegoro,https://ejournal.undip.ac.id/index.php/lawreform,18584810,25808508,Social,S1Accredited,True,True,"4,81",31,3.745,4.540
1099,Indonesian Journal of Applied Linguistics (IJAL),Universitas Pendidikan Indonesia,http://ejournal.upi.edu/index.php/IJAL,23019468,25026747,Education,S1Accredited,True,True,"4,77",50,10.904,14.888
1882,Sriwijaya Law Review,"Faculty of Law, Sriwijaya University",http://journal.fh.unsri.ac.id/index.php/sriwijayalawreview/issue/archive,25415298,25416464,"Science, Social",S1Accredited,True,True,"4,74",18,1.298,1.515
16,Forum Geografi,"Fakultas Geografi, Universitas Muhammadiyah Surakarta",http://journals.ums.ac.id/index.php/fg/issue/archive,08520682,24603945,Science,S1Accredited,True,True,"4,68",23,2.707,3.795
918,International Journal of Renewable Energy Development : JRED,Jurusan Teknik Kimia Universitas Diponegoro,https://ijred.cbiore.id/index.php/ijred/index,22524940,22524940,Science,S1Accredited,True,True,"4,64",39,8.881,10.612
865,Jurnal Ilmu Sosial dan Ilmu Politik,"Fakultas Ilmu Sosial dan Ilmu Politik, Universitas Gadjah Mada",http://jurnal.ugm.ac.id/jsp,14104946,25027883,Social,S1Accredited,True,True,"4,48",30,5.213,6.555
783,ILMU KELAUTAN: Indonesian Journal of Marine Sciences,Departemen Ilmu Kelautan Universitas Diponegoro dan Himpunan Ahli Pengelolaan Pesisir Indonesia,http://ejournal.undip.ac.id/index.php/ijms/index,08537291,24067598,Science,S1Accredited,True,True,"4,25",31,4.696,7.260
768,Teosofi: Jurnal Tasawuf dan Pemikiran Islam,Progam Studi Filsafat Agama Fakultas Ushuluddin dan Filsafat UIN Sunan Ampel Surabaya,http://jurnalfuf.uinsby.ac.id/index.php/teosofi,20887957,2442871X,"Social, Religion",S1Accredited,True,True,"4,23",18,1.836,2.424
911,"Journal of Tropical Life Science : International Journal of Theoretical, Experimental, and Applied Life Sciences","Jurusan Biologi, Fakultas Matematika dan Ilmu Pengetahuan Alam, Universitas Brawijaya",http://jtrolis.ub.ac.id/index.php/jtrolis/index,|,25274376,"Agriculture, Social",S1Accredited,True,True,"4,20",19,2.164,3.196
5,Sinergi,Universitas Mercu Buana,https://publikasi.mercubuana.ac.id/index.php/sinergi,14102331,24601217,Engineering,S1Accredited,True,True,"4,07",21,2.360,2.904
1811,Jurnal Pendidikan Matematika,Universitas Sriwijaya bekerja sama dengan Indonesian Mathematical Society (IndoMS),https://jpm.ejournal.unsri.ac.id/index.php/jpm,19780044,25491040,Education,S1Accredited,True,True,"4,05",36,4.745,6.838
10525,PETITA: Jurnal Kajian Ilmu Hukum dan Syariah,Universitas Islam Negeri Ar-Raniry,http://petita.ar-raniry.ac.id/index.php/petita,25028006,25498274,,S1Accredited,True,True,"4,04",15,1.048,1.167
1298,JURNAL IUS KAJIAN HUKUM DAN KEADILAN,Magister Ilmu Hukum Universitas Mataram,http://jurnalius.ac.id/ojs/index.php/jurnalIUS,23033827,2477815X,Social,S1Accredited,True,True,"4,04",26,3.704,4.293
